土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
北碚区北碚组团A标准分区A22-1/02号宗地,一类工业用地,13125,≥0.7,1641,重庆新百利汽车销售有限公司,2014年12月26日,1641,挂牌
九龙坡区西永组团C分区C11-8-1/03号宗地,一类工业用地,31771,≥1.0,2383,重庆华磊商品混凝土有限公司,2014年12月22日,2383,挂牌
九龙坡区西永组团O分区O18-2-2/02号宗地,一类工业用地,38734,≥0.7,2906,重庆植恩药业有限公司,2014年12月22日,2906,挂牌
巴南区李家沱组团B标准分区B08-2-2/05号宗地,二类居住用地、商业用地、商务用地、公共交通场站用地,30445,≤85246,18085,重庆城市综合交通枢纽（集团）有限公司,2014年12月19日,18085,挂牌
南岸区南坪组团K分区K3-6-1/03号宗地,加油加气站用地,4640,按规划要求,5053,重庆市城市建设投资（集团）有限公司,2014年12月19日,5053,挂牌
南岸区茶园-鹿角组团I分区I01-1-2/02宗地,加油站用地,2511,按规划要求,2967,重庆市城市建设投资（集团）有限公司,2014年12月19日,2967,挂牌
九龙坡区缙云山组团E分区E01/01号宗地,一类居住用地、商业用地,95447,≤95448(总建筑面积),15558,重庆力扬物业发展有限公司,2014年12月19日,15558,挂牌
九龙坡区西彭组团J分区J07-1/01、J08-1/01、J10-2/01、J10-5/01、J11-3/01、J13-1/02、J14-2/02、J15-1/01号宗地,二类居住用地、商业用地、娱乐康体用地,142420,≤605733,65518,重庆市诚投房地产开发有限公司,2014年12月19日,65518,挂牌
九龙坡区西永组团Y分区Y08-3/02、Y08-4/02号宗地,一类物流仓储用地,33590,≤2.0,3007,重庆创宝置业有限公司,2014年12月19日,3007,挂牌
巴南区南彭功能区组团A分区A21-1/01号宗地,物流仓储用地,225998,≤2.0,10602,重庆传化物流基地有限公司,2014年12月19日,10602,挂牌
两江新区鱼嘴组团Q标准分区Q7-1/01号地块,二类工业用地,232974,≥0.7,6059,重庆长安汽车股份有限公司,2014年12月19日,6059,挂牌
巴南区李家沱组团C分区C-2-2-2/04、C-2-1/04、C-2-4/04号宗地,商业用地、商务用地、二类居住用地,60581,≤194315.6,39910,重庆柏海源投资有限公司,2014年12月5日,39910,挂牌
巴南区巴南民主工贸园区组团D分区D3-10-1/04号宗地,商业用地,7102,≤17755,3203,重庆曦圆房地产开发有限公司,2014年12月5日,3203,挂牌
大渡口区大渡口组团C分区C38-2（部分）号宗地,医疗卫生用地,2704,≤5410,974,重庆亿地地产开发有限公司,2014年12月5日,974,挂牌
九龙坡区西彭组团D分区D39-1/02号宗地,一类工业用地,66059,≥0.7,3964,重庆康辉机械制造有限公司,2014年12月5日,3964,挂牌
巴南区南彭功能区组团A分区A10-2/01、A12-1/01号宗地,物流仓储用地,53996,≤2.0,3404,重庆懋缘物流有限责任公司,2014年12月5日,3404,挂牌
南岸区茶园组团N分区N18-3地块,物流仓储用地,69470,≤2.0,11552,重庆市南岸资产经营管理有限公司,2014年12月5日,11552,挂牌
南岸区茶园-鹿角组团A分区A29-2/04、A84-8/03号宗地,一类居住、二类居住、商业、商务、娱乐康体,128587,≤157589.7,40186,重庆中房嘉润房地产开发有限公司,2014年12月1日,40186,挂牌
九龙坡区西彭组团D分区D27-1/02号宗地,一类工业用地,15144,≥0.7,909,重庆泰利德化学工业有限公司,2014年12月1日,909,挂牌
九龙坡区西永组团Y分区Y05-5-2/02号宗地,一类工业用地,89558,≥0.7,6717,重庆华世丹机械制造有限公司,2014年12月1日,6717,挂牌
巴南区南彭功能区组团A分区A14-1/01号宗地,物流仓储用地,31532,≤2.0,1484,重庆鼎润物流有限公司,2014年12月1日,2190,拍卖
两江新区龙兴组团I标准分区I1-1/01号宗地,二类物流仓储用地,101351,≤2.0,5333,丰江仓储（重庆）有限公司,2014年12月19日,5333,挂牌
巴南区李家沱组团G标准分区G14-2/02、G15-3/02、G16-3/02号宗地,二类居住用地、商业用地,179454,≤419296,79667,重庆市诚投房地产开发有限公司,2014年12月17日,79667,挂牌
巴南区李家沱-鱼洞组团G标准分区G21-1/02、G21-3/02、G22-1/02号宗地,二类居住用地、商业用地,114860,≤344580,69007,重庆市诚投房地产开发有限公司,2014年12月17日,69007,挂牌
巴南区李家沱-鱼洞组团B、G标准分区G25-1/02、G26-1/02号宗地,二类居住用地,118019,≤318651.3,64557,重庆市诚投房地产开发有限公司,2014年12月17日,64557,挂牌
巴南区李家沱-鱼洞组团G标准分区G27-1/02、G28-1/02、G30-1/02号宗地,二类居住用地、商业用地,113679,≤341037,64798,重庆市诚投房地产开发有限公司,2014年12月17日,64798,挂牌
两江新区龙兴组团B分区12-1/01（部分一）号宗地,二类工业用地,268181,≥0.7,6759,中联重科股份有限公司,2014年12月17日,6759,挂牌
两江新区龙兴组团B标准分区12-1/01（部分二）号宗地,二类工业用地,33798,≥0.7,852,中联重科股份有限公司、重庆中科盛弘科技集团有限公司,2014年12月17日,852,挂牌
两江新区龙兴组团B标准分区12-1/01（部分三）号宗地,二类工业用地,66801,≥0.7,1684,重庆中科盛弘科技集团有限公司,2014年12月17日,1684,挂牌
大渡口区大渡口组团I分区I59/02、I61-1/02、I62-1/02、I71-3/02、I64-1/02（部分）宗地,商业用地、二类居住用地、小学用地,143164,≤324033.2,58326,重庆市诚投房地产开发有限公司,2014年12月8日,58326,挂牌
九龙坡区大杨石组团L分区L5-9-1/04号宗地,商业用地、商务用地、娱乐康体用地,12921,≤32302.5,8722,重庆融堃商贸有限公司,2014年12月5日,10200,拍卖
巴南区李家沱-鱼洞组团Q标准分区Q04-3/01号宗地,中小学用地,65783,按规划要求,5658,重庆德普教育投资有限公司,2014年12月1日,5658,挂牌
两江新区鱼嘴组团J标准分区J04-9/01号宗地,加油加气站用地,4645,按规划要求,2108,重庆中油两江发展有限公司,2014年11月26日,2108,挂牌
大渡口区大渡口组团E分区E11/02号宗地,商业用地、商务用地、二类居住用地,25979,≤181867,78255,成都布鲁泰尔置业有限公司,2014年11月21日,78255,挂牌
九龙坡区西彭组团K分区K5-1号宗地,商业用地、商务用地,2897,≤8691,878,重庆巨磊房地产开发有限公司,2014年11月21日,878,挂牌
大渡口区大渡口组团C分区C38-5（部分）号宗地,商业用地、商务用地,2064,≤4130,1182,重庆市大渡口新城建设有限责任公司,2014年11月21日,1182,挂牌
巴南区李家沱-鱼洞组团E标准分区E04-4-3/05、E04-4-4/05号宗地,二类居住用地、商业用地、商务用地、防护绿地,46900,≤164150,39068,重庆互康房地产开发有限公司,2014年11月21日,39068,挂牌
巴南区李家沱组团P标准分区P02-02/03号宗地,二类工业用地,111869,≥0.7,15532,重庆光宇摩托车制造有限公司,2014年11月21日,15532,挂牌
江北区溉澜溪片区组团G分区G15/03、G16-1/03、G16-2/02、G16-3/03、G17-1/02号宗地,二类居住用地、商业商务用地、中小学用地,216335,≤505265.4,245482,重庆创盈锦玺置业有限公司,2014年11月13日,245482,挂牌
九龙坡区西彭组团L分区L8/02、L11/02、L12/02、L13-1/02、L14-02/02号宗地,二类工业用地,384246,≥0.7,28805,重庆融慧创展投资发展有限公司,2014年11月13日,28805,挂牌
江北区观音桥组团B分区B02-2-2/04号宗地,二类居住用地,18596,≤46503.07,17381,四川博瑞德产业投资发展有限公司、成都惠泽天地创业投,2014年11月10日,17390,拍卖
九龙坡区西永组团Z分区Z23-3/03号（部分2）宗地,二类工业用地,22660,≥0.7,1088,重庆摩尔水处理设备有限公司,2014年10月20日,1280,拍卖
巴南区南彭功能区组团A分区A36-1/01号宗地,工业用地,197789,≥1.0,9299,重庆烟叶复烤有限公司,2014年10月20日,9299,挂牌
巴南区南彭组团A标准分区A2-3/02、A2-1/02、A4-2/02、A4-3/01、A6-1/02、A6-3/01、A8-3/01、A8-2/01、A8-4/02号宗地,物流仓储用地,1041993,按规划要求,32112,重庆华南城有限公司,2014年10月20日,32112,挂牌
高新区大杨石组团C分区C16-4、D分区D1-1、D5-4号宗地,二类居住用地、商业金融业用地,69160,≤167676.99,60440,重庆高科集团有限公司,2009年1月21日,26307,挂牌
渝北区两路组团F标准分区F98-1、F98-2、F99-1、F99-2、F100-2、F101-1、F102-1、F103-1、F104-1号宗地,二类居住用地、商业用地、商务用地,217221,≤604919.5,213456,良年有限公司、新疆鼎信辉智投资有限合伙企业,2014年10月15日,213456,挂牌
渝北区人和组团B、N标准分区N18-2号宗地,商业用地、商务用地,35142,≤112455.36,25338,重庆新康国际控股有限公司,2014年10月15日,25338,挂牌
沙坪坝区西永组团L标准分区L56-6/04号宗地,二类居住用地,26094,≤33360,8324,重庆国盛滨溪房地产开发有限公司,2014年10月9日,8324,挂牌
大渡口区大渡口组团A分区A23-3号宗地,中小学用地,34155,按规划要求,2562,重庆市大渡口区巴渝中学校,2014年10月9日,2562,挂牌
大渡口区中梁山组团L分区L17-08(部分)地块、L23-02(部分)地块,商业用地、商务用地,13684,≤34185,4448,重庆酒宜实业有限公司,2014年10月9日,4448,挂牌
九龙坡区二郎科技新城中心区组团M分区M12-1/03、M12-2/02号宗地,二类居住用地、商业用地、商务用地,32413,≤121570.5,28732,重庆斌鑫集团有限公司,2014年10月9日,28732,挂牌
两江新区鱼嘴组团P标准分区P7-1/01（部分二）号宗地,B29-其它商务用地（生产性服务业用地）,13467,≤20200.5,1215,张伟,2014年11月10日,1220,拍卖
两江新区鱼嘴组团P标准分区P7-1/01(部分一)号宗地,B29-其它商务用地（生产性服务业用地）,11636,≤17454,1050,上海荣振投资集团有限公司,2014年11月10日,1050,挂牌
两江新区鱼嘴组团P分区P5-1/01号宗地,B29-其它商务用地（生产性服务业用地）,25003,≤37504.5,2254,重庆三峡联合国际实业发展有限公司,2014年11月10日,2254,挂牌
南岸区茶园-鹿角组团F分区F08-1/02、F08-4/02号宗地,商业用地、商务用地,12316,23920.6,5265,重庆川博房地产开发有限公司,2014年11月5日,5265,挂牌
两江新区龙兴组团I标准分区I02-4/01号宗地,加油加气站用地,3977,按规划要求,1801,重庆中油两江发展有限公司,2014年10月20日,1801,挂牌
九龙坡区大杨石组团Q分区QF3-2-1/03号宗地,商业用地,2358,≤9432,3730,重庆泽一置业发展有限公司,2014年10月20日,3730,挂牌
九龙坡区大杨石组团I分区I26/03号宗地,交通枢纽用地、商业用地、商务用地,16274,≤73237.5,24526,中嘉國際控股有限公司(China Global International Ho,2014年10月20日,44000,拍卖
九龙坡区西彭组团R标准分区R78/02、R77-03/02、R77-04/02号宗地,二类居住用地,167645,≤335288,42750,重庆百康年城市建设发展有限公司,2014年10月20日,42750,挂牌
九龙坡区西彭组团D分区D79-1/01号宗地,一类工业用地,24308,≥0.7,1359,重庆明珠床垫有限公司,2014年10月20日,1359,挂牌
九龙坡区西永组团Z分区Z23-3/03号（部分4）宗地,二类工业用地,22111,≥0.7,1062,重庆明川电子有限公司,2014年10月20日,1062,挂牌
渝北区人和组团B、N分区N17-1号宗地,商业用地、商务用地、二类居住用地,5925,≤17776.2,3729,重庆北部农业开发（集团）有限公司,2014年10月9日,3729,挂牌
渝北区两路组团F分区F51-1、F46-2号宗地,二类居住用地,80141,≤160283.6,57061,重庆鲁能开发（集团）有限公司,2014年10月9日,57061,挂牌
九龙坡区西永组团O分区O9-1-2/01号宗地,加油加气站用地,3550,按规划要求,1168,中国石油天然气股份有限公司重庆销售分公司,2014年9月26日,1168,挂牌
两江新区龙兴组团G分区G22-1/01号宗地,商业、商务、娱乐康体、体育用地,628655,≤628655,36871,重庆际华目的地中心实业有限公司,2014年9月26日,36871,挂牌
渝中区大杨石组团E分区E12-4号宗地,二类居住、商业用地、商务用地、公园绿地,48694,≤265000,113950,重庆佑山房地产开发有限公司,2014年9月26日,113950,挂牌
两江新区鱼嘴组团B分区B15-1/01号宗地,二类工业用地,1103913,≥0.7,27819,重庆长安汽车股份有限公司,2014年9月22日,27819,挂牌
两江新区龙兴组团B分区B5-1/01（部分五）宗地,二类工业用地,21621,≥0.7,909,重庆双五汽车零部件有限公司,2014年9月22日,909,挂牌
两江新区鱼嘴组团Q标准分区Q10-1/01、Q11-1/01号宗地,二类工业用地,107632,≥1.0,4327,重庆中农投资发展有限公司,2014年9月22日,4327,挂牌
两江新区水土组团A标准分区A48-2/01（部分二）号宗地,一类工业,26321,≥1.0,664,重庆嘉泰罗光电科技有限公司,2014年9月22日,664,挂牌
两江新区水土组团A标准分区A51-1/01（部分四）号宗地,一类工业,16613,≥0.6,419,重庆东进世美肯电子材料有限公司,2014年9月22日,419,挂牌
沙坪坝区西永组团I标准分区I88-01-1/03、I89-01/02号宗地,物流仓储用地,95624,0.5≤容积率≤2,11628,重庆闽商置业发展有限公司,2014年9月18日,11628,挂牌
江北区大石坝组团A分区A2-1-1/02、A2-3/02、A4-1-2/02号宗地,二类居住用地、商业用地、商务用地,111745,≤244502,80197,重庆华美鼎丰置业有限公司,2014年9月10日,80197,挂牌
九龙坡区西永组团Ab分区Ab12-1/02号宗地,商业用地,58232,≤116464,13627,重庆赣江实业有限公司,2014年9月5日,13627,挂牌
九龙坡区中梁山组团I分区I04-2/04号（部分4）宗地,二类工业用地,25774,≥0.7,3008,重庆鑫渝康机电有限公司,2014年9月5日,3008,挂牌
九龙坡区中梁山组团I分区I03-6/03号宗地,二类工业用地,14764,≥0.7,1716,重庆市联发塑料原料工业有限公司,2014年9月5日,1716,挂牌
九龙坡区中梁山组团I分区I13-2/03号（部分1）宗地,二类工业用地,24646,≥0.7,2873,重庆永丹钢管有限公司,2014年9月5日,2873,挂牌
九龙坡区中梁山组团I标准分区11-1/03号（部分3）宗地,二类工业用地,33075,≥0.7,3875,重庆安泽机械有限公司,2014年9月5日,3875,挂牌
九龙坡区中梁山组团I分区I11-1/03号（部分4）宗地,二类工业用地,63996,≥0.7,7736,重庆壹本置业有限公司,2014年9月5日,7736,挂牌
北碚区蔡家组团B标准分区B10-5/02宗地,二类工业用地,44784,≥0.7,4703,重庆首钢武中汽车部件有限公司,2014年9月5日,4703,挂牌
北部新区礼嘉组团F标准分区F21-1/03宗地,一类工业用地,266360,≥0.7,9350,重庆康明斯发动机有限公司,2014年9月5日,9350,挂牌
九龙坡区西彭组团R分区01/03号（部分1）宗地,二类工业用地,51875,≥0.7,4328,重庆九发包装印务有限公司,2014年9月18日,4350,拍卖
九龙坡区西彭组团R分区01/03号（部分2）宗地,二类工业用地,96524,≥0.7,15953,重庆旺龙实业（集团）有限公司,2014年9月18日,15953,挂牌
九龙坡区中梁山组团I标准分区I10-2/03号宗地,二类工业用地,77876,≥0.7,7934,重庆平氏科技有限公司,2014年9月18日,7934,挂牌
九龙坡区中梁山组团I分区08-1/03（部分2）宗地,二类工业用地,25395,≥0.7,2992,重庆鑫磊机械制造有限公司,2014年9月18日,2992,挂牌
九龙坡区西永组团Aa分区Aa-49-1/02号、Aa-49-2/02号宗地,一类物流仓储用地,60796,≤2.0,4842,重庆市德远投资有限公司,2014年9月18日,4842,挂牌
九龙坡区中梁山组团I标准分区I13-1/04号宗地,二类工业用地,112993,≥0.7,11506,重庆平氏科技有限公司,2014年9月18日,11506,挂牌
大渡口区大渡口组团N分区N11-1（部分）宗地,一类工业用地,13124,≥0.7,1092,重庆市万家燕医药有限公司,2014年9月18日,1092,挂牌
大渡口区大渡口组团N分区N13-1号宗地,一类工业用地,8800,≥0.7,732,重庆团金科技有限公司,2014年9月18日,732,挂牌
北部新区礼嘉组团F标准分区F22/03（部分）宗地,一类工业用地,14700,≥0.7,662,"AVON AUTOMOTIVE HOLDINGS,INC.",2014年9月18日,662,挂牌
北部新区礼嘉组团F标准分区F26/03（部分）宗地,一类工业用地,46681,≥0.7,1639,长安福特汽车有限公司,2014年9月18日,1639,挂牌
两江新区水土组团A标准分区A51-1/01（部分五）号宗地,一类工业,20143,≥0.6,508,住化电子材料科技（重庆）有限公司,2014年9月22日,508,挂牌
两江新区水土组团A标准分区A51-1/01（部分一）号宗地,一类工业,26626,≥1.0,671,重庆广榛光电科技有限公司,2014年9月22日,671,挂牌
两江新区水土组团A标准分区A48-2/01（部分三）号宗地,一类工业,42882,≥1.0,1081,重庆嘉泰罗光电科技有限公司,2014年9月22日,1081,挂牌
两江新区水土组团B标准分区B26-1/01号宗地,一类工业,75649,≥1.0,2043,重庆市兴国金科灯具有限公司,2014年9月22日,2043,挂牌
两江新区水土组团A标准分区A51-1/01（部分三）号宗地,一类工业,20018,≥1.0,505,重庆通灿电子有限公司,2014年9月22日,505,挂牌
两江新区水土组团A标准分区A48-4/01（部分二）号宗地,一类工业,40010,≥1.0,1009,重庆宇隆光电科技有限公司,2014年9月22日,1009,挂牌
两江新区水土组团A标准分区A48-2/01（部分一）号宗地,一类工业,16539,≥1.0,417,重庆嘉泰罗光电科技有限公司,2014年9月22日,417,挂牌
北碚区蔡家组团N标准分区N12/02、N15/03、N19-1/03、N19-2/03号宗地,二类居住用地、一类居住用地,179986,≤254649,72900,重庆上善置地有限公司,2014年9月18日,72900,挂牌
九龙坡区中梁山组团I标准分区I08-1/03号（部分4）宗地,二类工业用地,19973,≥0.7,2342,重庆市九龙坡区永鑫机械有限公司,2014年9月18日,2342,挂牌
九龙坡区中梁山组团I标准分区I14-1/04号（部分1）宗地,二类工业用地,24123,≥0.7,2523,重庆平氏科技有限公司,2014年9月18日,2523,挂牌
九龙坡区大杨石组团Q标准分区F2-5-1地块、F3-5-1地块,二类居住用地、商业用地、商务用地,117402,≤455212,127460,UP WEALTH INVESTMENT LIMITED（上益投资有限公司）,2014年8月28日,149000,拍卖
巴南区惠民中心组团A分区A10-6/01号宗地,二类居住用地,18806,≤28209,3122,重庆泰驰置业有限公司,2014年8月28日,3122,挂牌
两江新区龙兴组团C标准分区C5-1/03号地块,体育用地,21124,≤1.5,533,2014年8月28日,重庆市德辉龙兴实业有限公司,533,挂牌
两江新区悦来组团D标准分区D04-6/05号宗地,文化设施用地,6676,≤13352,1085,重庆悦来投资集团有限公司,2014年8月28日,1085,挂牌
两江新区鱼嘴组团Q标准分区Q6-6/01(部分二)宗地,二类工业,78092,≥0.7,3385,重庆美联伟格资产经营管理有限公司,2014年8月28日,3385,挂牌
北部新区金山组团C分区C49-1南侧部分宗地,二类工业用地,8119,≥0.7,713,重庆西山科技有限公司,2014年8月28日,713,挂牌
九龙坡区西彭组团J分区17-2/02号宗地,二类居住用地,22376,≤40277,5200,重庆旭城置业有限公司,2014年8月25日,5210,拍卖
九龙坡西永组团Ab分区Ab11-1/02号宗地,批发市场用地,71782,≤143566,16654,重庆奥捷实业有限公司,2014年8月25日,16654,挂牌
大渡口区中梁山组团F分区F5-4、F5-5、F8-1、F8-3号宗地,二类居住用地,65976,≤143149,28400,重庆金科房地产开发有限公司,2014年9月10日,28600,拍卖
九龙坡区中梁山组团I分区I11-1/03号（部分2）宗地,二类工业用地,19705,≥0.7,2313,重庆显荣实业有限公司,2014年8月25日,2313,挂牌
九龙坡区中梁山组团I分区I13-2/04号（部分2）宗地,二类工业用地,20648,≥0.7,2421,重庆今朝物流有限公司,2014年8月25日,2421,挂牌
九龙坡区西彭组团L分区L10-01/01(部分1)号宗地,二类工业用地,10750,≥1.0,965,重庆龙宜装饰材料有限公司,2014年8月25日,965,挂牌
九龙坡区西彭组团L分区L10-01/01(部分2)号宗地,二类工业用地,11265,≥1.0,961,重庆禾可香粮油有限公司,2014年8月25日,961,挂牌
九龙坡区西彭组团L分区L10-01/01(部分3)号宗地,二类工业用地,11357,≥0.7,973,重庆奇骞机械制造有限公司,2014年8月25日,973,挂牌
九龙坡区西彭组团R分区R18-03/04号宗地,二类工业用地,81530,≥0.7,5963,隆鑫通用动力股份有限公司,2014年8月25日,5963,挂牌
九龙坡区西彭组团L分区L15-01/02(部分1)号宗地,二类工业用地,11272,≥0.7,1255,重庆侨森建材有限公司,2014年8月25日,1255,挂牌
九龙坡区西彭组团L分区L15-01/02(部分3)号宗地,二类工业用地,6067,≥0.7,588,重庆勋科机械有限公司,2014年8月25日,588,挂牌
大渡口区大渡口组团N分区N37/02（部分）、N43-1/04（部分）宗地,一类工业用地,62198,≥1.0,2800,重庆红九九食品有限公司,2014年8月25日,2800,挂牌
巴南区南彭功能区组团A分区A3-1/01号宗地,二类工业用地,278809,≥0.6,20911,重庆盈福物流有限公司,2014年8月25日,20911,挂牌
北碚区蔡家组团B分区B35-1/03号宗地,科研用地,6824,≤1.2,1025,重庆东风南方汽车销售服务有限公司,2014年8月25日,1025,挂牌
沙坪坝区西永组团S标准分区S8-2/01号宗地,二类工业用地,52039,≥0.7,6081,中国兵工物资西南有限公司,2014年8月25日,6081,挂牌
沙坪坝区西永组团J标准分区J04-01/03（部分）号宗地,仓储用地兼容一类工业用地,77309,≤2.0,3813,重庆铁路口岸物流开发有限责任公司,2014年8月18日,3813,挂牌
沙坪坝区西永组团J分区J08-01/04、J04-01/03(部分)宗地,仓储用地兼容一类工业用地,157706,≤2.0,9928,重庆铁路口岸物流开发有限责任公司,2014年8月14日,9928,挂牌
两江新区悦来组团D标准分区D14-1/06、D14-3/05、D11-7/06号宗地,商业用地、二类居住用地,261525,≤375694.5,135563,重庆融创基业房地产开发有限公司、葛洲坝海集房地产开,2014年8月14日,135563,挂牌
渝北区悦来组团D分区17-2/05、17-4/05、17-5/05、17-6/04、18-1/05、18-3/05、15/05号宗地,商业用地、商务用地、二类居住用地,181378,≤414976,116249,重庆融创基业房地产开发有限公司、葛洲坝海集房地产开,2014年8月14日,116249,挂牌
两江新区悦来组团D标准分区D16-2/05、D16-3/05、D16-4/05、D19-3/04号宗地,二类居住用地,140233,≤267993.8,88566,重庆融创基业房地产开发有限公司、葛洲坝海集房地产开,2014年8月14日,88566,挂牌
巴南区李家沱组团D分区D3-3/03号宗地,二类居住用地、商业用地、商务用地,14622,≤21933,4826,易泽东,2014年8月12日,4826,挂牌
九龙坡区中梁山组团I分区I04-2/04号（部分6）宗地,一类工业用地,20065,≥0.7,2378,重庆千禧汽车地毯制造有限责任公司,2014年8月12日,2378,挂牌
九龙坡区西彭组团R分区R39-1/02号宗地,二类工业用地,37081,≥1.0,3367,重庆九龙园高新产业集团有限公司,2014年8月12日,3367,挂牌
九龙坡区西永组团C分区C11-19-1/03（部分1）号宗地,一类工业用地,7128,≥1.0,535,重庆海蓝川马光电科技有限公司,2014年8月12日,535,挂牌
巴南区李家沱组团R分区R13-7/01号宗地,一类工业用地,83006,≥1.0,2800,重庆云教育文化产业投资开发有限公司,2014年7月18日,2800,挂牌
巴南区木洞组团C分区C5-1/01、C6-1/01、C7-1/01号宗地,二类工业用地,126974,≥1.0,12636,重庆拓为建设投资有限公司,2014年7月18日,12636,挂牌
九龙坡区西永组团Aa分区Aa-51-2/02号宗地,二类工业用地,88371,≥1.0,3845,重庆市龙泉食品有限公司,2014年7月18日,6950,拍卖
九龙坡区中梁山组团I分区I08-1/03号（部分1）号宗地,二类工业用地,25186,≥0.8,2975,重庆蟠龙印务有限公司,2014年7月18日,2975,挂牌
九龙坡区中梁山组团I分区11-1/03号（部分1）宗地,二类工业用地,5264,≥1.0,626,重庆弘泽装饰工程有限公司,2014年7月18日,626,挂牌
九龙坡区中梁山组团I分区08-1/03号宗地,二类工业用地,4756,≥0.7,538,重庆九龙园高新产业集团有限公司,2014年7月18日,538,挂牌
九龙坡区中梁山组团I分区I04-2/04号(部分2)宗地,二类工业用地,8512,≥1.0,980,重庆二轻供销有限公司,2014年7月18日,980,挂牌
九龙坡区中梁山组团I分区I04-2/04号（部分3）宗地,二类工业用地,5532,≥1.0,657,重庆钻发机械有限公司,2014年7月18日,657,挂牌
沙坪坝区歌乐山镇中心区控规组团A标准分区A03-2/03号,二类居住用地,22037,≤33056,4298,重庆回兴建设开发有限公司,2014年7月15日,4300,拍卖
九龙坡区大杨石组团G分区G07-5-1/02号宗地,加油站用地,3965,按规划要求,2014,重庆市城市建设投资（集团）有限公司,2014年7月9日,2014,挂牌
巴南区南彭功能区组团A分区A16-2/01号宗地,二类工业用地,35616,≥0.5,2672,重庆新时代润滑油有限公司,2014年8月12日,2672,挂牌
两江新区龙兴组团A标准分区A15-1/01号地块,二类仓储用地,224757,≤2.0,11800,维龙（重庆）仓储设施有限公司,2014年8月12日,11800,挂牌
巴南区界石组团G分区G4-3/01、G2-3/01、G6-3/01号宗地,商业用地、商务用地,27684,≤30452,4264,重庆纬信置业有限公司,2014年7月29日,4264,挂牌
沙坪坝区西永组团L标准分区L08-4/03号宗地,商业用地、商务用地,5035,≤20140,4258,精博信华实业（香港）有限公司,2014年7月29日,4258,挂牌
沙坪坝区西永组团L标准分区L10-1/03、L10-2/03、L10-4/03、L10-5/03号宗地,二类居住用地、商业用地、商务用地,40601,≤133671,31532,精博信华实业（香港）有限公司、重庆美敦置业有限公司,2014年7月29日,31532,挂牌
九龙坡区西永组团Z分区Z29-1/03号宗地,二类工业用地,23440,≥0.7,1126,重庆巨泰机械有限公司,2014年7月29日,1126,挂牌
巴南区木洞麻柳功能区组团A标准分区A4-1/01号宗地,二类工业用地,148698,≥0.6,5019,北大医药股份有限公司,2014年7月29日,5019,挂牌
沙坪坝区西永组团R标准分区R65-3/04（部分）地块,一类工业用地,3676,≥0.7,142,亿科电气股份有限公司,2014年7月29日,305,拍卖
九龙坡区西彭组团R分区R18-1/04号宗地,LNG液化天然气用地,4666,按规划要求,1666,重庆市能航天然气有限公司,2014年7月18日,1666,挂牌
九龙坡区二郎科技新城组团A分区A2-2-3-1/05号宗地,加油站用地,7602,按规划要求,3815,重庆市城市建设投资（集团）有限公司,2014年7月18日,3815,挂牌
巴南区A2-2/01号宗地,加油站用地,7260,按规划要求,4695,重庆市城市建设投资（集团）有限公司,2014年7月9日,4695,挂牌
巴南区南彭中心区组团A18-1/02、A18-2/03、A24-2/02、A24-1/03、A30-1/02号宗地,一类工业用地、二类工业用地,223485,≥0.7,16762,重庆四方混凝土有限公司,2014年7月9日,16762,挂牌
两江新区水土组团A标准分区A27-1/01（部分一）地块,一类工业用地,10000,≥0.6,252,液化空气（重庆）有限公司,2014年7月9日,252,挂牌
两江新区水土组团A标准分区A20-2/01、A22/01地块,一类工业用地,95443,≤2.0 ≥1.0,2406,重庆腾讯信息技术有限公司,2014年7月9日,2406,挂牌
渝北区两路组团G标准分区G63-1号宗地,零售商业用地、批发市场用地,19832,≤49580.75,7933,重庆兆隆置业有限公司,2014年6月27日,7933,挂牌
南岸区茶园组团B分区B44-1号地块,二类居住用地,142417,≤213625.5,65175,重庆康田米源房地产开发有限公司,2014年6月27日,65175,挂牌
南岸区茶园组团B分区B48-3、B44-2号地块,二类居住用地,150756,≤226134,68990,重庆康田米源房地产开发有限公司,2014年6月27日,68990,挂牌
两江新区龙兴组团B标准分区B1-1/01号（部分三）地块,二类工业用地,35864,≥0.7,1345,重庆宜北贸易有限公司,2014年6月25日,1910,拍卖
两江新区龙兴组团B标准分区B5-1/01号（部分二）地块,二类工业用地,13353,≥0.7,561,重庆金顺汽车零部件科技有限公司,2014年6月25日,561,挂牌
两江新区龙兴组团B分区B5-1/01号（部分一）,二类工业用地,19517,≥0.7,820,武汉瑞明汽车部件有限公司,2014年6月25日,820,挂牌
双碑组团E分区54-2/03、54-3/02、54-4/02号宗地,二类居住用地、商业用地、商务用地,48517,139303,45099,信达重庆房地产开发有限公司,2014年6月17日,45100,拍卖
双碑组团E分区53-1/03、53-2/02、53-3/02号宗地,二类居住用地；商业用地、商务用地,62605,186307.5,61482,重庆渝富资产经营管理集团有限公司,2014年6月17日,61490,拍卖
双碑组团E分区52-1/03、52-3/02号宗地,二类居住用地；商业用地、商务用地,72144,176563.5,58528,金融街重庆置业有限公司,2014年6月17日,58530,拍卖
双碑组团E分区38-5/03号宗地,二类居住用地,3774,3775,1442,重庆渝富资产经营管理集团有限公司,2014年6月17日,1442,挂牌
